t,Ax,Ay,Yaw_rate,Vx,Steer,Slip_FL,Slip_FR,Slip_RL,Slip_RR,Beta
0,0,0,0,0,0,0,0,0,0,0
0.02,-0.216631207795013,8.96822119724812e-18,1.53884157171071e-19,95.3961552897365,-9.26987199352028e-18,1.72930736921607e-05,1.72930736921607e-05,-0.000229201776062847,-0.000229201776062847,-1.18747819664237e-20
0.04,-0.216631207795013,8.96822119724812e-18,1.53884157171071e-19,95.3961552897365,-9.26987199352028e-18,1.72930736921607e-05,1.72930736921607e-05,-0.000229201776062847,-0.000229201776062847,-1.18747819664237e-20
0.06,0.242775748752544,-8.77600688670283e-17,-2.2961237296401e-16,95.398215678479,6.42383193072416e-16,0.00290401808525886,0.00290401808525886,-0.000287973844618202,-0.000287973844618202,-8.9243119929355e-19
0.08,0.242775748752544,-8.77600688670283e-17,-2.2961237296401e-16,95.398215678479,6.42383193072416e-16,0.00290401808525886,0.00290401808525886,-0.000287973844618202,-0.000287973844618202,-8.9243119929355e-19
0.1,0.485002636309667,9.97295207274526e-16,6.6028018004374e-15,95.4516953657436,-1.85172004086442e-14,0.00452079672344375,0.00452079672344375,-0.000316138267211805,-0.000316138267211805,-2.76440576498677e-17
0.12,0.485002636309667,9.97295207274526e-16,6.6028018004374e-15,95.4516953657436,-1.85172004086442e-14,0.00452079672344375,0.00452079672344375,-0.000316138267211805,-0.000316138267211805,-2.76440576498677e-17
0.14,0.664270463547607,-5.0599078487448e-16,4.04501592434831e-15,95.5352208122434,-1.91766764269363e-14,0.00575125091503021,0.00575125091503021,-0.000337820563270014,-0.000337820563270014,-2.6298464165234e-16
0.16,0.664270463547607,-5.0599078487448e-16,4.04501592434831e-15,95.5352208122434,-1.91766764269363e-14,0.00575125091503021,0.00575125091503021,-0.000337820563270014,-0.000337820563270014,-2.6298464165234e-16
0.18,0.796065048273362,6.05464716129469e-18,1.20977630086636e-16,95.640867005889,-1.32284780572573e-14,0.00664129390775947,0.00664129390775947,-0.000356841484756552,-0.000356841484756552,-3.7466685838849e-16
0.2,0.796065048273362,6.05464716129469e-18,1.20977630086636e-16,95.640867005889,-1.32284780572573e-14,0.00664129390775947,0.00664129390775947,-0.000356841484756552,-0.000356841484756552,-3.7466685838849e-16
0.22,0.897292230381645,-8.22603863048804e-16,-4.17938996304638e-15,95.7631705557944,-1.93351112485936e-15,0.0073105274652193,0.00731052746521943,-0.000372066568153716,-0.000372066568153716,-3.42292858866267e-16
0.24,0.897292230381645,-8.22603863048804e-16,-4.17938996304638e-15,95.7631705557944,-1.93351112485936e-15,0.0073105274652193,0.00731052746521943,-0.000372066568153716,-0.000372066568153716,-3.42292858866267e-16
0.26,0.9826493535473,-1.95189764099629e-16,-4.60665657704003e-15,95.8987233129353,4.34292017378334e-15,0.00787856646914859,0.00787856646914859,-0.000383915159458086,-0.000383915159458086,-1.83318118230023e-16
0.28,0.9826493535473,-1.95189764099629e-16,-4.60665657704003e-15,95.8987233129353,4.34292017378334e-15,0.00787856646914859,0.00787856646914859,-0.000383915159458086,-0.000383915159458086,-1.83318118230023e-16
0.3,1.06081441434248,-6.04374754636886e-16,-5.40691629703597e-15,96.0460236941482,1.12220985706266e-14,0.0084096189200099,0.0084096189200099,-0.000394276426816947,-0.000394276426816947,-2.5945240091931e-17
0.32,1.06081441434248,-6.04374754636886e-16,-5.40691629703597e-15,96.0460236941482,1.12220985706266e-14,0.0084096189200099,0.0084096189200099,-0.000394276426816947,-0.000394276426816947,-2.5945240091931e-17
0.34,1.40642394121493,3.87089688803242e-16,-6.22187671413355e-15,96.2212162647218,1.89247322872213e-14,0.0107162831899099,0.0107162831899099,-0.00043584362069178,-0.00043584362069178,1.16494305412e-16
0.36,1.40642394121493,3.87089688803242e-16,-6.22187671413355e-15,96.2212162647218,1.89247322872213e-14,0.0107162831899099,0.0107162831899099,-0.00043584362069178,-0.00043584362069178,1.16494305412e-16
0.38,1.73169131038949,3.4397386394486e-16,-1.6976311927149e-15,96.4489054218852,1.51523399237123e-14,0.0129902186299593,0.0129902186299596,-0.000474933402046285,-0.000474933402046285,3.41849920151871e-16
0.4,1.73169131038949,3.4397386394486e-16,-1.6976311927149e-15,96.4489054218852,1.51523399237123e-14,0.0129902186299593,0.0129902186299596,-0.000474933402046285,-0.000474933402046285,3.41849920151871e-16
0.42,1.90469243653732,-1.23258255904903e-15,-1.29201652982834e-15,96.712801991744,1.4230021565957e-14,0.0143214652599923,0.0143214652599923,-0.000492653390346129,-0.000492653390346129,3.30379672763448e-16
0.44,1.90469243653732,-1.23258255904903e-15,-1.29201652982834e-15,96.712801991744,1.4230021565957e-14,0.0143214652599923,0.0143214652599923,-0.000492653390346129,-0.000492653390346129,3.30379672763448e-16
0.46,1.94249265260592,-1.16732520852629e-15,-2.50369875428678e-15,96.9912865490338,2.07207256399332e-14,0.0146893714679242,0.014689371467924,-0.000496561045938194,-0.000496561045938194,2.90669833271295e-16
0.48,1.94249265260592,-1.16732520852629e-15,-2.50369875428678e-15,96.9912865490338,2.07207256399332e-14,0.0146893714679242,0.014689371467924,-0.000496561045938194,-0.000496561045938194,2.90669833271295e-16
0.5,1.90544435693478,-8.29082883477499e-16,2.47627494164609e-15,97.2690537548094,9.77609573278199e-15,0.0144523285595744,0.0144523285595741,-0.000494377783891751,-0.000494377783891751,2.38109899321269e-16
0.52,1.90544435693478,-8.29082883477499e-16,2.47627494164609e-15,97.2690537548094,9.77609573278199e-15,0.0144523285595744,0.0144523285595741,-0.000494377783891751,-0.000494377783891751,2.38109899321269e-16
