t,Ax,Ay,Yaw_rate,Vx,Steer,Slip_FL,Slip_FR,Slip_RL,Slip_RR,Beta
0,0,0,0,0,0,0,0,0,0,0
0.02,-0.55095424417665,2.45156598262247e-17,5.72547694008371e-18,149.962208511769,8.64312805181609e-18,-0.000244169462453689,-0.000244169462453689,-0.000240377915364116,-0.000240377915364116,3.83995908704328e-20
0.04,-0.55095424417665,2.45156598262247e-17,5.72547694008371e-18,149.962208511769,8.64312805181609e-18,-0.000244169462453689,-0.000244169462453689,-0.000240377915364116,-0.000240377915364116,3.83995908704328e-20
0.06,-0.510005161628968,-2.83252686826676e-17,5.54943938461767e-19,149.883974532481,3.60547900121869e-17,9.8896183677028e-06,9.8896183677028e-06,-0.000246032631788446,-0.000246032631788446,-7.85780063049711e-20
0.08,-0.510005161628968,-2.83252686826676e-17,5.54943938461767e-19,149.883974532481,3.60547900121869e-17,9.8896183677028e-06,9.8896183677028e-06,-0.000246032631788446,-0.000246032631788446,-7.85780063049711e-20
0.1,-0.244656115301549,-1.58512270561955e-17,-1.08331750867393e-18,149.8276859329,-2.48920234402525e-17,0.0017435872883885,0.0017435872883885,-0.000274909509457902,-0.000274909509457902,-1.54870656218646e-18
0.12,-0.244656115301549,-1.58512270561955e-17,-1.08331750867393e-18,149.8276859329,-2.48920234402525e-17,0.0017435872883885,0.0017435872883885,-0.000274909509457902,-0.000274909509457902,-1.54870656218646e-18
0.14,-0.00253938298900204,8.74450234733263e-18,3.5053369837638e-17,149.811549234706,-6.37140821226184e-17,0.00337767183760103,0.00337767183760103,-0.000307650949569544,-0.000307650949569544,-7.13800827787454e-19
0.16,-0.00253938298900204,8.74450234733263e-18,3.5053369837638e-17,149.811549234706,-6.37140821226184e-17,0.00337767183760103,0.00337767183760103,-0.000307650949569544,-0.000307650949569544,-7.13800827787454e-19
0.18,0.09303796449774,5.40905502870087e-17,5.71108290256838e-17,149.819707890234,-1.80503797281955e-16,0.00403426207589405,0.00403426207589405,-0.00032167104580814,-0.00032167104580814,-2.38068332112859e-18
0.2,0.09303796449774,5.40905502870087e-17,5.71108290256838e-17,149.819707890234,-1.80503797281955e-16,0.00403426207589405,0.00403426207589405,-0.00032167104580814,-0.00032167104580814,-2.38068332112859e-18
0.22,0.0864211174158205,1.80292186000308e-16,6.66499675964155e-16,149.833430823034,-9.68073363745727e-16,0.00398670295271168,0.00398670295271168,-0.000322913782812506,-0.000322913782812506,-5.02006633188883e-18
0.24,0.0864211174158205,1.80292186000308e-16,6.66499675964155e-16,149.833430823034,-9.68073363745727e-16,0.00398670295271168,0.00398670295271168,-0.000322913782812506,-0.000322913782812506,-5.02006633188883e-18
0.26,0.0449233652229125,6.52291635977368e-17,5.73978657338593e-16,149.842988952077,-8.00818686168856e-16,0.00369745996543647,0.00369745996543647,-0.000320012678910353,-0.000320012678910353,-2.587380433013e-17
0.28,0.0449233652229125,6.52291635977368e-17,5.73978657338593e-16,149.842988952077,-8.00818686168856e-16,0.00369745996543647,0.00369745996543647,-0.000320012678910353,-0.000320012678910353,-2.587380433013e-17
0.3,0.0100989681000086,1.22464382445706e-16,4.75817938862185e-16,149.846747996771,-9.98198355847437e-16,0.00345723665870188,0.00345723665870188,-0.000317304485829205,-0.000317304485829205,-4.32681199108344e-17
0.32,0.0100989681000086,1.22464382445706e-16,4.75817938862185e-16,149.846747996771,-9.98198355847437e-16,0.00345723665870188,0.00345723665870188,-0.000317304485829205,-0.000317304485829205,-4.32681199108344e-17
0.34,-0.00611103225940271,-3.28655901508097e-17,-3.27717851965897e-15,149.846818665523,4.17300629355755e-15,0.00334774302707728,0.00334774302707728,-0.000316069763564886,-0.000316069763564886,-1.65755379550027e-17
0.36,-0.00611103225940271,-3.28655901508097e-17,-3.27717851965897e-15,149.846818665523,4.17300629355755e-15,0.00334774302707728,0.00334774302707728,-0.000316069763564886,-0.000316069763564886,-1.65755379550027e-17
0.38,-0.00821035742952751,4.32328157488611e-16,-1.50897719395543e-15,149.845668655805,2.80262744121581e-15,0.00333578524977266,0.00333578524977266,-0.000316178112777888,-0.000316178112777888,1.18854720517657e-16
0.4,-0.00821035742952751,4.32328157488611e-16,-1.50897719395543e-15,149.845668655805,2.80262744121581e-15,0.00333578524977266,0.00333578524977266,-0.000316178112777888,-0.000316178112777888,1.18854720517657e-16
0.42,-0.00450142960535198,4.43169194549186e-17,-8.26721402161475e-16,149.844725831597,2.32333797159856e-15,0.00336320812781713,0.00336320812781713,-0.00031699051483954,-0.00031699051483954,1.76125807616768e-16
0.44,-0.00450142960535198,4.43169194549186e-17,-8.26721402161475e-16,149.844725831597,2.32333797159856e-15,0.00336320812781713,0.00336320812781713,-0.00031699051483954,-0.00031699051483954,1.76125807616768e-16
0.46,-0.000688159538171321,-2.31160113179461e-16,-1.83673828592863e-16,149.844369813603,1.55706183652137e-15,0.00339088842627503,0.00339088842627503,-0.000317866034852536,-0.000317866034852536,1.9654654979581e-16
0.48,-0.000688159538171321,-2.31160113179461e-16,-1.83673828592863e-16,149.844369813603,1.55706183652137e-15,0.00339088842627503,0.00339088842627503,-0.000317866034852536,-0.000317866034852536,1.9654654979581e-16
0.5,0.00119576951156198,-2.44408765650591e-17,6.27020200317441e-17,149.844431033954,1.33459306551983e-15,0.00340516828537754,0.00340516828537754,-0.000318463460087372,-0.000318463460087372,1.99755779271155e-16
0.52,0.00119576951156198,-2.44408765650591e-17,6.27020200317441e-17,149.844431033954,1.33459306551983e-15,0.00340516828537754,0.00340516828537754,-0.000318463460087372,-0.000318463460087372,1.99755779271155e-16
0.54,0.00139187811708595,-1.66816299702749e-17,4.71301633092672e-16,149.84463229418,7.09068690862371e-16,0.00340777757759198,0.00340777757759198,-0.000318778653119813,-0.000318778653119813,1.8753638339179e-16
0.56,0.00139187811708595,-1.66816299702749e-17,4.71301633092672e-16,149.84463229418,7.09068690862371e-16,0.00340777757759198,0.00340777757759198,-0.000318778653119813,-0.000318778653119813,1.8753638339179e-16
0.58,0.00082042239887557,8.52288801432518e-06,1.57743635711802e-06,149.844795639385,0.000727573340608448,0.00340499268497708,0.00340498963491352,-0.000318948614520687,-0.000318949348168239,3.85108708737644e-08
