t,Ax,Ay,Yaw_rate,Vx,Steer,Slip_FL,Slip_FR,Slip_RL,Slip_RR,Beta
0,0,0,0,0,0,0,0,0,0,0
0.02,-0.55095424417665,2.44405895377298e-17,5.72547694008371e-18,149.962208511769,-1.52492770893661e-18,-0.000244169462453689,-0.000244169462453689,-0.000240377915364116,-0.000240377915364116,3.83853129405174e-20
0.04,-0.55095424417665,2.44405895377298e-17,5.72547694008371e-18,149.962208511769,-1.52492770893661e-18,-0.000244169462453689,-0.000244169462453689,-0.000240377915364116,-0.000240377915364116,3.83853129405174e-20
0.06,-0.510005161628968,-2.77576513108499e-17,5.57000615072779e-18,149.883974532481,1.32829550907547e-17,9.8896183677028e-06,9.8896183677028e-06,-0.000246032631788446,-0.000246032631788446,1.44996111509939e-20
0.08,-0.510005161628968,-2.77576513108499e-17,5.57000615072779e-18,149.883974532481,1.32829550907547e-17,9.8896183677028e-06,9.8896183677028e-06,-0.000246032631788446,-0.000246032631788446,1.44996111509939e-20
0.1,-0.244656115301549,-1.55906591658288e-17,1.41131231851349e-17,149.8276859329,-1.14320997272219e-16,0.0017435872883885,0.0017435872883885,-0.000274909509457902,-0.000274909509457902,-1.55751759892456e-18
0.12,-0.244656115301549,-1.55906591658288e-17,1.41131231851349e-17,149.8276859329,-1.14320997272219e-16,0.0017435872883885,0.0017435872883885,-0.000274909509457902,-0.000274909509457902,-1.55751759892456e-18
0.14,-0.00253938298900205,2.096626003553e-17,1.01711902349182e-17,149.811549234706,-1.25333457939855e-16,0.00337767183760103,0.00337767183760103,-0.000307650949569544,-0.000307650949569544,-1.44851993490764e-18
0.16,-0.00253938298900205,2.096626003553e-17,1.01711902349182e-17,149.811549234706,-1.25333457939855e-16,0.00337767183760103,0.00337767183760103,-0.000307650949569544,-0.000307650949569544,-1.44851993490764e-18
0.18,0.0930379644977398,-9.21524903678554e-17,-3.31518106012425e-15,149.819707890234,9.64791581404088e-15,0.00403426207589405,0.00403426207589405,-0.00032167104580814,-0.00032167104580814,1.96385105819134e-17
0.2,0.0930379644977398,-9.21524903678554e-17,-3.31518106012425e-15,149.819707890234,9.64791581404088e-15,0.00403426207589405,0.00403426207589405,-0.00032167104580814,-0.00032167104580814,1.96385105819134e-17
0.22,0.0864211174158205,2.18824996489228e-16,-1.38470589422118e-15,149.833430823034,6.99481095310872e-15,0.00398670295271168,0.00398670295271168,-0.000322913782812506,-0.000322913782812506,1.29469585135692e-16
0.24,0.0864211174158205,2.18824996489228e-16,-1.38470589422118e-15,149.833430823034,6.99481095310872e-15,0.00398670295271168,0.00398670295271168,-0.000322913782812506,-0.000322913782812506,1.29469585135692e-16
0.26,0.0449233652229125,-1.00703806239229e-16,-4.18346412299353e-16,149.842988952077,5.62533248828313e-15,0.00369745996543647,0.00369745996543647,-0.000320012678910353,-0.000320012678910353,1.63768562915265e-16
